Id,Banned hero
286,Ryze
286,Kalista
286,Graves
286,Gangplank
286,Poppy
286,Nidalee
287,Elise
287,Lulu
287,Poppy
287,Nidalee
287,Gangplank
287,Jhin
288,Syndra
288,Kalista
288,Lulu
288,Poppy
288,Gangplank
288,Nidalee
289,Poppy
289,Corki
289,Graves
289,Nidalee
289,Lulu
289,Fiora
290,Ryze
290,Zed
290,Nidalee
290,Alistar
290,Kalista
290,Thresh
291,Zilean
291,Nidalee
291,Lulu
291,Poppy
291,Gangplank
291,Corki
292,Poppy
292,Corki
292,Gangplank
292,Soraka
292,Lulu
292,Janna
293,Ryze
293,Braum
293,Draven
293,Nidalee
293,Bard
293,Poppy
294,Alistar
294,Gangplank
294,Lulu
294,Elise
294,Kalista
294,Fiora
295,Corki
295,Malphite
295,Elise
295,Gangplank
295,KogMaw
295,Fiora
296,Fiora
296,Nidalee
296,Gangplank
296,Kalista
296,KogMaw
296,Lulu
297,Nidalee
297,Orianna
297,Malphite
297,Lulu
297,Fiora
297,Lissandra
298,Graves
298,Nautilus
298,KogMaw
298,Kalista
298,Fiora
298,Lulu
299,Leblanc
299,Kayle
299,Gangplank
299,KogMaw
299,Kalista
299,Nidalee
300,Fiora
300,Leblanc
300,Nidalee
300,Kalista
300,KogMaw
300,Lulu
301,Fiora
301,Kalista
301,Gangplank
301,Elise
301,Nidalee
301,KogMaw
302,Gangplank
302,Malphite
302,Kalista
302,Fiora
302,KogMaw
302,Nidalee
303,Malphite
303,Kalista
303,Fiora
303,Graves
303,KogMaw
303,Nidalee
304,Fiora
304,Gangplank
304,Soraka
304,Nidalee
304,KogMaw
304,Lulu
305,Poppy
305,Gragas
305,Lulu
305,Graves
305,Braum
305,Kalista
306,KogMaw
306,TwistedFate
306,Fiora
306,Kayle
306,Nidalee
306,Lulu
307,Kalista
307,Lulu
307,Corki
307,Nidalee
307,KogMaw
307,TwistedFate
308,Lulu
308,Corki
308,Gragas
308,Nidalee
308,Gangplank
308,Kindred
309,Lulu
309,Kalista
309,Corki
309,Gangplank
309,Nidalee
309,KogMaw
310,Poppy
310,Gangplank
310,Braum
310,Corki
310,Fiora
310,Lulu
311,Kalista
311,Fiora
311,Gragas
311,Nidalee
311,TwistedFate
311,KogMaw
312,Braum
312,Fiora
312,Kalista
312,Nidalee
312,KogMaw
312,Corki
313,Corki
313,Elise
313,Kindred
313,Kalista
313,Gangplank
313,Lulu
314,Corki
314,Kayle
314,Lulu
314,Nidalee
314,KogMaw
314,Kalista
315,Jhin
315,TwistedFate
315,LeeSin
315,Lulu
315,Kalista
315,Nidalee
316,Nautilus
316,Graves
316,Kindred
316,Nidalee
316,Kalista
316,Quinn
317,Jhin
317,Poppy
317,Nidalee
317,Fiora
317,Udyr
317,Graves
318,Corki
318,Gangplank
318,Varus
318,Kalista
318,Nidalee
318,Poppy
319,Kindred
319,Sivir
319,Trundle
319,TwistedFate
319,Lulu
319,Kayle
320,Lissandra
320,Lulu
320,Corki
320,Kalista
320,Nidalee
320,Gangplank
321,Poppy
321,Jhin
321,Nidalee
321,Fiora
321,Graves
321,Kindred
322,Zed
322,Corki
322,KogMaw
322,Nidalee
322,Kalista
322,Leblanc
323,Gangplank
323,Soraka
323,Kalista
323,Kindred
